ID,Symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
4599,MX1,3020.7289321995,7.4040751339,0.3354035626,22.0751237027,5.48141039908587e-108,7.54735397850134e-104
444,ASPH,4945.2807318728,-8.0877207028,0.3855002914,-20.9798043817,1.00305190924398e-97,6.90551086919015e-94
5552,SRGN,2271.7839711667,10.1954871987,0.4880390794,20.8907188555,6.50331568109298e-97,2.98480512043231e-93
5336,PLCG2,1535.6675084433,7.2984223953,0.3551432079,20.5506461413,7.59456323300106e-94,2.61423852887979e-90
397,ARHGDIB,1887.2331661367,9.9440476157,0.5012980417,19.8365977701,1.43871762575232e-87,3.96194059779673e-84
6277,S100A6,3157.2341382995,-6.8976621538,0.3635538026,-18.9728785777,2.85818221517145e-80,6.55905182011594e-77
10397,NDRG1,5353.1021607291,-7.2991075856,0.3878752358,-18.8181840772,5.35899879211122e-79,1.05411506240828e-75
1832,DSP,2024.5638471407,-10.9824008972,0.5947051701,-18.4669672462,3.80890362424058e-76,6.55559925027106e-73
6281,S100A10,2583.3613062141,-8.4811596438,0.4724038686,-17.9531968476,4.53057921091958e-72,6.93128279501686e-69
7503,XIST,2439.2044166984,5.400698623,0.3017465814,17.8981269557,1.21955039434292e-71,1.67919893797076e-68
9834,FAM30A,1339.4783720479,12.8422153259,0.7302916128,17.5850510952,3.20692271577362e-69,4.01419262486245e-66
6653,SORL1,946.7181856353,7.2437043427,0.4151435515,17.4486736387,3.52319221810071e-68,4.04256947091906e-65
8848,TSC22D1,2692.6205114888,-7.1443772347,0.4179100221,-17.0954915115,1.60338502350415e-65,1.69823141450989e-62
8870,IER3,3317.4569178269,-5.8780912724,0.3440454507,-17.0852172608,1.91229625086373e-65,1.88074336272447e-62
3662,IRF4,2507.0448139678,12.0716246453,0.7162307044,16.8543802595,9.74239764759014e-64,8.94287154731124e-61
3914,LAMB3,1265.5040832944,-9.0231920838,0.5373327288,-16.7925599924,2.76649923069522e-63,2.38074549421516e-60
9744,ACAP1,642.7619761008,7.4670873566,0.4457554208,16.7515346037,5.51841915007218e-63,4.46959489866729e-60
3134,HLA-F,870.5521372759,6.341470555,0.3792316397,16.7218920864,9.07903973242839e-63,6.94496100421147e-60
3856,KRT8,2341.9181178033,-6.4995048286,0.3890250878,-16.7071611386,1.16239122355608e-62,8.42366566165457e-60
2180,ACSL1,706.04299007,6.6588790487,0.4005149387,16.6257944585,4.53317592234019e-62,3.12086496373511e-59
11217,AKAP2,632.5967769306,7.5871909744,0.4601389327,16.4889133142,4.40806196520936e-61,2.89021929518894e-58
6367,CCL22,636.6565103531,7.8779025654,0.4922242399,16.0047025854,1.18478031187916e-57,7.41510914284736e-55
64093,SMOC1,1720.3594316086,-11.7370565463,0.7349716871,-15.9693995737,2.08786015893206e-57,1.24990202297111e-54
3875,KRT18,1889.0528509128,-6.9199334377,0.4335735818,-15.9602285014,2.41844359555792e-57,1.38748124446821e-54
7185,TRAF1,639.3964411304,6.4565051286,0.4056385765,15.9168912984,4.8382583825918e-57,2.66471918679626e-54
3561,IL2RG,693.056643988,5.964986233,0.3750982148,15.9024650021,6.0919747095621e-57,3.22616922215233e-54
3695,ITGB7,626.5486176769,8.1179885579,0.5125412452,15.8387030009,1.68255543191808e-56,8.58040953410372e-54
3117,HLA-DQA1,1818.7566720978,12.3109881473,0.7854493936,15.6738145672,2.28447410828195e-55,1.12339014274765e-52
1794,DOCK2,781.5719400172,7.7333253265,0.4934697902,15.671324728,2.37575581515399e-55,1.12799247651225e-52
2208,FCER2,2708.6342555843,12.200429603,0.7871949041,15.4986135451,3.54458673179344e-54,1.62684715700213e-51
5450,POU2AF1,484.2382374959,7.6062347951,0.4954970696,15.3507160019,3.50298688008123e-53,1.55589117263995e-50
800,CALD1,660.417089079,-10.3546984091,0.675415218,-15.3308633467,4.75622718229679e-53,2.04651537728264e-50
340348,TSPAN33,542.4113291275,8.0576580914,0.5260546266,15.3171508893,5.87362452954695e-53,2.45072533779794e-50
6480,ST6GAL1,735.6954500848,9.4422162431,0.6167687311,15.3091681963,6.64077785480937e-53,2.68931971420207e-50
1956,EGFR,924.4309192492,-13.5886839672,0.8880630591,-15.3014854377,7.47313062113987e-53,2.93992958635642e-50
309,ANXA6,2583.7112671838,4.4385189965,0.2951823694,15.0365315051,4.2314759635663e-51,1.61842201506512e-48
257106,ARHGAP30,650.6563737514,9.3885329035,0.6246835493,15.0292622789,4.72235564982667e-51,1.75735445790442e-48
5880,RAC2,773.6673975541,9.7458197332,0.6515706752,14.9574253476,1.39312304902591e-50,5.04787138474679e-48
9535,GMFG,555.1353038047,9.7748675714,0.6580365374,14.8545969962,6.49573827202283e-50,2.29332872480724e-47
933,CD22,726.3332026726,9.3489039461,0.6326140983,14.7782099245,2.02476276841079e-49,6.96973963956205e-47
63940,GPSM3,436.962676264,7.1879309711,0.486676144,14.7694335554,2.30643209173854e-49,7.74567401735317e-47
10964,IFI44L,690.6597658952,6.2609288662,0.4240017353,14.7662812304,2.41685331677904e-49,7.92325079017395e-47
4015,LOX,893.4954511621,-9.9428100953,0.6762531042,-14.7027940194,6.18539609127057e-49,1.98062136699313e-46
90102,PHLDB2,646.3006408449,-8.3062955333,0.5650233821,-14.700799642,6.37029897900244e-49,1.99346924186102e-46
23180,RFTN1,521.7560270015,8.5488199041,0.5864257508,14.5778385276,3.88627495043855e-48,1.18911377316863e-45
26112,CCDC69,447.2889007813,7.2995018818,0.5017793533,14.547234424,6.08122815672257e-48,1.82027022804159e-45
3801,KIFC3,755.6360155749,-7.9402559041,0.5503781025,-14.4269110057,3.5042761592438e-47,1.026603796524e-44
118788,PIK3AP1,462.4618417764,6.4631702171,0.4483130575,14.4166450392,4.06633712067238e-47,1.16644574613621e-44
2348,FOLR1,3336.7617215887,-13.8833903892,0.9642527302,-14.3980825294,5.3199065366176e-47,1.49489373678954e-44
2353,FOS,787.9021951391,-8.0100619079,0.5564326662,-14.3953840129,5.53167813673072e-47,1.5233135252929e-44
4600,MX2,350.1450503941,7.1241241437,0.4963667323,14.3525415383,1.02703361093085e-46,2.77278937037391e-44
2152,F3,752.5762105641,-9.7937020969,0.6878442846,-14.2382546701,5.30351201502897e-46,1.40430878721027e-43
4017,LOXL2,1018.8237329293,-10.294557541,0.7290358383,-14.1207839182,2.82827531345001e-45,7.34764580960249e-43
26509,MYOF,630.8605614299,-9.6527433896,0.6871074944,-14.04837448,7.88225511596151e-45,1.99891236560742e-42
9214,FCMR,497.2553459706,7.3453471434,0.522895017,14.0474605897,7.98461617462473e-45,1.99891236560742e-42
963,CD53,816.0528218209,10.2448910102,0.7314958856,14.0053979959,1.44468122438382e-44,3.55210996045373e-42
157,GRK3,302.6141681072,7.4180501416,0.5303748571,13.9864287352,1.88649887892612e-44,4.55705316911119e-42
3673,ITGA2,491.3729878111,-8.9229126855,0.6381574358,-13.9823062221,1.99903638874075e-44,4.74564345458128e-42
3683,ITGAL,563.888442148,9.1098025258,0.6535777479,13.9383608992,3.70348027360879e-44,8.6429186249694e-42
55619,DOCK10,457.8724251757,8.596856064,0.6171493751,13.929943723,4.16683688924887e-44,9.56219618801127e-42
3486,IGFBP3,511.7090873778,-9.6484073998,0.6929083064,-13.9245082072,4.4962567612003e-44,1.01490097286831e-41
7169,TPM2,1130.6115363142,-5.3840316076,0.3885350851,-13.8572597807,1.14980514842349e-43,2.55349469171662e-41
5777,PTPN6,1615.3051902241,4.4383295698,0.3206882605,13.8400126135,1.46180939660094e-43,3.19486564790451e-41
5138,PDE2A,484.5732005059,-8.5091058676,0.6168761095,-13.793865148,2.7748522596312e-43,5.96983449419718e-41
81704,DOCK8,449.3137888224,7.0150874175,0.5098555747,13.7589697279,4.49892440686683e-43,9.53010617817682e-41
