# HOMER Peaks
# Peak finding parameters:
# tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags
#
# total peaks = 20447
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 170
# genome size = 2000000000
# Total tags = 34851833.0
# Total tags in peaks = 6020541.0
# Approximate IP efficiency = 17.27%
# tags per bp = 0.016404
# expected tags per peak = 16.404
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.506879e-06
# FDR tag threshold = 37.0
# number of putative peaks = 291816
#
# input tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1883
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = /ru-auth/local/home/tcarroll/Homer//bin/findPeaks /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags -i /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags -region -size 1000 -minDist 2500 -o /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/Peaks//HOMER/H3K27Ac_Limb_1/_H3K27Ac_Limb_1__Input_Limb_Homer/_H3K27Ac_Limb_1__Input_Limb_homer.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr6-4868	chr6	52199340	52254246	+	4568.2	54906.000	70.000000	15921.0	985.7	16.15	0.00e+00	0.89
chr2-4523	chr2	74667371	74716645	+	3352.5	49274.000	100.000000	11684.0	845.2	13.82	0.00e+00	0.86
chr7-5801	chr7	142531246	142580989	+	2272.2	49743.000	72.000000	7919.0	975.1	8.12	0.00e+00	0.92
chr13-5766	chr13	23541829	23587635	+	2001.9	45806.000	52.000000	6977.0	592.8	11.77	0.00e+00	0.94
chr11-5367	chr11	120224485	120244302	+	1792.4	19817.000	92.000000	6247.0	400.5	15.60	0.00e+00	0.74
chr5-4654	chr5	142811146	142824950	+	1665.9	13804.000	77.000000	5806.0	225.3	25.77	0.00e+00	0.90
chr2-7286	chr2	18038421	18060132	+	1537.9	21711.000	72.000000	5360.0	349.9	15.32	0.00e+00	0.93
chr2-13948	chr2	33625348	33650314	+	1452.1	24966.000	49.000000	5061.0	457.0	11.07	0.00e+00	0.91
chr18-3055	chr18	60644922	60677722	+	1444.4	32800.000	66.000000	5034.0	585.2	8.60	0.00e+00	0.95
chr5-4410	chr5	119826628	119846289	+	1432.9	19661.000	80.000000	4994.0	321.7	15.52	0.00e+00	0.86
chr13-6904	chr13	23736774	23765195	+	1366.4	28421.000	47.000000	4762.0	381.1	12.49	0.00e+00	0.95
chr2-7134	chr2	30705393	30726845	+	1239.5	21452.000	73.000000	4320.0	393.5	10.98	0.00e+00	0.90
chr1-11036	chr1	161998102	162028547	+	1193.3	30445.000	45.000000	4159.0	520.5	7.99	0.00e+00	0.93
chr3-2108	chr3	30504356	30516907	+	1079.4	12551.000	114.000000	3762.0	224.1	16.79	0.00e+00	0.93
chr6-4196	chr6	51165413	51187099	+	1069.4	21686.000	77.000000	3727.0	382.3	9.75	0.00e+00	0.92
chr7-9010	chr7	70345413	70367073	+	1057.9	21660.000	53.000000	3687.0	332.9	11.08	0.00e+00	0.92
chr5-6720	chr5	123134516	123144253	+	1045.6	9737.000	60.000000	3644.0	182.3	19.99	0.00e+00	0.78
